file,class,method,variable,usage
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Main.java,com.Main,main/1[java.lang.String[]],args,0
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Main.java,com.Main,main/1[java.lang.String[]],book2,1
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Main.java,com.Main,main/1[java.lang.String[]],book1,1
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Main.java,com.Main,main/1[java.lang.String[]],library,6
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Main.java,com.Main,main/1[java.lang.String[]],member,1
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Main.java,com.Main,main/1[java.lang.String[]],report,1
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Main.java,com.Main,main/1[java.lang.String[]],borrowed,1
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Main.java,com.Main,main/1[java.lang.String[]],foundBook,2
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\LibraryReport.java,com.LibraryReport,generateBorrowingReport/0,book,2
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\LibraryReport.java,com.LibraryReport,generateBorrowingReport/0,member,3
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\LibraryReport.java,com.LibraryReport,LibraryReport/1[com.Library],library,2
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\LibraryReport.java,com.LibraryReport,generateBookInventoryReport/0,availableCount,3
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\LibraryReport.java,com.LibraryReport,generateBookInventoryReport/0,book,4
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\LibraryReport.java,com.LibraryReport,generateBookInventoryReport/0,borrowedCount,3
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Book.java,com.Book,"Book/3[java.lang.String,java.lang.String,java.lang.String]",author,2
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Book.java,com.Book,"Book/3[java.lang.String,java.lang.String,java.lang.String]",id,2
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Book.java,com.Book,"Book/3[java.lang.String,java.lang.String,java.lang.String]",title,2
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Book.java,com.Book,setAvailable/1[boolean],available,2
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Library.java,com.Library,addBook/1[com.Book],book,1
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Library.java,com.Library,"returnBook/2[java.lang.String,java.lang.String]",book,4
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Library.java,com.Library,"returnBook/2[java.lang.String,java.lang.String]",member,2
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Library.java,com.Library,"returnBook/2[java.lang.String,java.lang.String]",bookId,1
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Library.java,com.Library,"returnBook/2[java.lang.String,java.lang.String]",memberId,1
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Library.java,com.Library,findBookById/1[java.lang.String],book,2
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Library.java,com.Library,findBookById/1[java.lang.String],id,1
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Library.java,com.Library,registerMember/1[com.Member],member,2
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Library.java,com.Library,"borrowBook/2[java.lang.String,java.lang.String]",book,4
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Library.java,com.Library,"borrowBook/2[java.lang.String,java.lang.String]",member,2
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Library.java,com.Library,"borrowBook/2[java.lang.String,java.lang.String]",bookId,1
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Library.java,com.Library,"borrowBook/2[java.lang.String,java.lang.String]",memberId,1
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Member.java,com.Member,borrowBook/1[com.Book],book,1
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Member.java,com.Member,returnBook/1[com.Book],book,1
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Member.java,com.Member,"Member/3[java.lang.String,java.lang.String,java.lang.String]",name,2
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Member.java,com.Member,"Member/3[java.lang.String,java.lang.String,java.lang.String]",id,2
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Member.java,com.Member,"Member/3[java.lang.String,java.lang.String,java.lang.String]",email,2
